name,album,artist,release_date,length,popularity,acousticness,danceability,valence,key,energy,instrumentalness,liveness,loudness,speechiness,mode,tempo,time_signature
Some Say,Some Say,Kathy Catchy,2021-09-06,158283,39,0.583,0.529,0.76,0,0.505,0.877,0.129,-9.214,0.134,1,78.939,4
A Winter with U,A Winter with U,Spinmont,2020-11-20,153846,39,0.925,0.888,0.398,7,0.362,0.911,0.355,-9.736,0.0573,1,139.002,4
Aphrodite,Aphrodite,KojimaBeats,2022-05-06,162351,32,0.922,0.709,0.501,6,0.241,0.939,0.39,-17.811,0.0437,0,135.936,3
Golden Flower,Golden Flower,Pearldiver,2022-05-13,147750,31,0.84,0.729,0.554,2,0.331,0.869,0.119,-16.607,0.0671,0,80.029,4
Midnight Thoughts,Midnight Thoughts,Dosi,2022-05-13,130909,31,0.884,0.59,0.311,7,0.226,0.923,0.58,-21.04,0.0343,1,110.028,4
Hopeless Romantic,Hopeless Romantic,Senn,2022-04-28,152793,31,0.712,0.594,0.117,5,0.248,0.719,0.107,-16.651,0.0311,1,131.994,4
Orchards,Orchards,ghost talk,2022-05-03,133896,43,0.982,0.801,0.502,9,0.207,0.621,0.0962,-18.631,0.058,1,129.494,4
Peace,Peace,Signature D,2022-04-29,120004,31,0.738,0.741,0.525,6,0.3,0.79,0.215,-7.063,0.0446,1,110.016,4
Random Happiness,Random Happiness,Enoki,2022-05-02,102352,44,0.188,0.707,0.301,0,0.281,0.00305,0.0691,-13.237,0.0328,1,84.989,4
Morning Dew,Morning Dew,Milky Moustache Beats,2022-05-06,122727,31,0.733,0.641,0.401,11,0.307,0.69,0.162,-15.411,0.0359,0,87.992,4
Saudade,Saudade,Nick Wolf,2022-04-29,114782,34,0.866,0.61,0.401,9,0.157,0.868,0.139,-20.441,0.0355,0,137.929,4
Gin Basil Smash,Gin Basil Smash,Neele Harder,2022-05-06,113992,31,0.592,0.67,0.812,8,0.687,0.814,0.0965,-8.312,0.0987,1,169.989,4
Anemone,Anemone,Oaty.,2022-05-06,150379,31,0.798,0.709,0.238,1,0.247,0.729,0.336,-12.374,0.345,0,158.005,4
Good Things Coming,Good Things Coming,SamuW,2022-05-04,156585,34,0.528,0.699,0.534,7,0.266,0.94,0.108,-10.583,0.104,1,82.01,4
naturale,naturale,masao mami,2022-05-08,144067,31,0.761,0.792,0.412,0,0.0316,0.827,0.0843,-19.528,0.0497,1,120.026,4
reverbations,reverbations,moves like silk,2021-08-18,137142,38,0.363,0.71,0.277,6,0.166,0.943,0.105,-16.452,0.0526,0,140.013,4
Daydream,Daydream,Ensidya,2021-09-02,158571,38,0.582,0.68,0.168,8,0.206,0.519,0.0957,-10.361,0.0671,1,70.094,4
park stroll,park stroll & pathways,meadowzz,2021-08-16,170919,38,0.806,0.74,0.291,6,0.323,0.653,0.174,-15.746,0.199,1,80.025,3
Feeling Home,Buskin,Abbesses Square,2021-02-14,239090,39,0.422,0.764,0.6,8,0.441,0.182,0.139,-12.905,0.0625,1,132.014,4
Bay Leaves,Bay Leaves,URCHN,2021-06-11,124000,43,0.731,0.727,0.155,4,0.145,0.92,0.109,-13.974,0.0573,1,77.027,4
morning cake,morning cake,SpiceChill,2021-06-27,117000,40,0.693,0.681,0.512,0,0.249,0.856,0.308,-23.645,0.0848,1,80.074,4
lake hylia,lake hylia,Poetics,2021-08-27,111079,46,0.754,0.84,0.056,5,0.313,0.847,0.112,-24.095,0.0838,0,121.035,4
Big Wave Surfing,Big Wave Surfing,"Beats Me, Innit?",2021-08-26,141839,38,0.846,0.561,0.0509,9,0.359,0.824,0.111,-11.769,0.0299,1,77.996,4
landslide,breakbeat poetry,Mass Effect,2021-06-20,124683,38,0.863,0.566,0.277,7,0.241,0.798,0.127,-12.787,0.0514,1,149.868,4
hollows,hollows,ding m,2021-04-04,170270,43,0.578,0.711,0.351,9,0.249,0.676,0.31,-16.289,0.15,0,148.06,4
Exhibit A,Pellegrino,Divine Stacks,2021-06-20,129729,38,0.842,0.713,0.773,7,0.174,0.931,0.108,-13.892,0.0629,0,148.03,4
Wonderous,21st Street,Sum Gum,2021-06-07,140153,38,0.634,0.711,0.123,4,0.326,0.327,0.118,-8.029,0.0389,1,129.959,4
Eden Garden,Eden Garden,Dilai,2022-05-20,228000,26,0.575,0.646,0.491,8,0.496,0.894,0.506,-9.803,0.039,0,80.007,4
Without You,Without You,ghost talk,2022-05-20,128009,31,0.976,0.723,0.122,9,0.0398,0.938,0.101,-20.138,0.0453,1,119.976,4
Monsoon,Monsoon,lst drm,2022-05-13,128856,30,0.947,0.581,0.0916,1,0.26,0.948,0.114,-15.406,0.0282,1,81.987,4
need a vacation?,need a vacation?,kobicha,2022-05-15,128062,32,0.822,0.776,0.309,7,0.0569,0.877,0.0986,-24.793,0.0426,0,120.019,4
Andantino,Lofi Chopin,Odinson,2021-05-17,170640,40,0.47,0.846,0.568,8,0.134,0.911,0.111,-17.054,0.222,1,125.184,4
Carvings,Disque Magique,Dusty Decks,2020-07-31,156923,41,0.976,0.534,0.331,0,0.19,0.899,0.386,-15.723,0.0853,1,78.094,4
A Little Bird Told Me,WAVES,Etchen,2021-05-17,77600,45,0.892,0.657,0.504,2,0.19,0.886,0.143,-19.499,0.0581,1,74.954,4
Chi-town,Chi-town,55 South,2021-06-05,161013,46,0.817,0.675,0.122,6,0.222,0.49,0.104,-14.215,0.0367,0,148.038,4
quiet thoughts,quiet thoughts,sumthin,2022-05-20,93176,28,0.916,0.469,0.0419,1,0.286,0.438,0.115,-9.614,0.089,0,85.025,4
Kronotype,Kronotype,invention_,2022-05-18,171711,30,0.0384,0.758,0.365,7,0.23,0.841,0.0921,-8.857,0.0316,1,136.051,4
Steady Somewhere,Post It Beats Pt.1,Breakfast For Brunch,2021-06-04,156923,38,0.4,0.601,0.179,0,0.194,0.757,0.112,-13.338,0.0602,1,155.975,4
True Colors,True Colors,LzmD,2021-03-30,148615,39,0.679,0.836,0.453,8,0.302,0.91,0.178,-16.225,0.0958,1,129.987,4
Warm Breeze,Warm Breeze,Screen Jazzmaster,2021-01-11,144917,13,0.765,0.729,0.449,6,0.42,0.515,0.142,-9.439,0.209,1,160.11,4
SimplyShtick,SimplyShtick,Rutah,2021-05-02,85500,41,0.85,0.888,0.339,5,0.303,0.934,0.0885,-14.119,0.556,1,79.99,4
Tunnel,Tunnel,Dominic Mena,2021-05-07,127384,40,0.875,0.592,0.165,2,0.258,0.882,0.117,-20.131,0.0351,1,130.03,4
Birdzz,Swimm,Zoozzy,2021-04-30,164085,37,0.613,0.721,0.374,0,0.305,0.427,0.425,-13.177,0.0362,0,81.981,4
Un Poco Más,Un Poco Más,Rafa Figueroa,2021-02-08,145303,47,0.804,0.685,0.45,4,0.27,0.903,0.087,-15.411,0.044,0,140.05,4
colors of a night,colors of a night,Antennaah,2021-05-04,116076,42,0.387,0.788,0.349,11,0.432,0.734,0.107,-12.081,0.324,0,123.913,4
Sweater Weather,Sweater Weather,lilhugz,2021-03-03,145892,42,0.485,0.71,0.495,6,0.341,0.848,0.115,-14.994,0.0386,0,152.0,4
Open Mind,Open Mind,Dustin Pierce,2021-04-29,152673,46,0.739,0.782,0.174,9,0.046,0.921,0.112,-19.131,0.264,0,90.03,4
Reflect,Reflect,Dimmer Signal,2021-01-21,92059,43,0.311,0.716,0.14,9,0.29,0.916,0.105,-9.905,0.0829,1,146.117,4
Last One,Tidy your Room,Sunshine and Raindrops,2021-04-28,159069,38,0.323,0.718,0.132,11,0.238,0.486,0.132,-13.658,0.0578,0,85.996,4
morning coffe,morning coffe,inbetweenjobs,2021-03-05,160507,42,0.706,0.599,0.34,7,0.312,0.269,0.0992,-11.95,0.133,0,79.947,4
Harpazo,Harpazo,Blu Crown,2021-04-22,138352,37,0.591,0.815,0.477,7,0.41,0.934,0.109,-8.581,0.0604,1,170.092,4
new trees,frozen grapes,vibe academy,2021-02-06,110704,39,0.746,0.738,0.235,4,0.474,0.785,0.341,-8.514,0.0493,1,142.022,4
