name,album,artist,release_date,length,popularity,acousticness,danceability,valence,key,energy,instrumentalness,liveness,loudness,speechiness,mode,tempo,time_signature
Holidays,Holidays,FRANZ,2022-03-18,134000,50,0.378,0.642,0.517,4,0.33,0.943,0.0989,-9.614,0.0408,1,179.621,4
va y viene,va y viene,Jiony,2022-02-10,177589,50,0.683,0.895,0.809,0,0.376,0.838,0.127,-12.399,0.111,1,112.041,4
fireflies,fireflies,Fujitsu,2022-01-04,128780,48,0.65,0.805,0.408,10,0.258,0.765,0.119,-12.93,0.224,1,164.077,4
Something Light,Something Light,Guzimi,2022-04-14,125217,52,0.893,0.731,0.752,0,0.364,0.935,0.192,-13.366,0.16,1,138.012,4
Hope!,Hope!,Harris Cole,2021-09-17,163914,52,0.864,0.656,0.293,0,0.427,0.929,0.116,-8.569,0.0368,1,82.019,4
Buenos Tiempos,Buenos Tiempos,DECAP,2022-03-11,128097,48,0.59,0.701,0.729,10,0.741,0.831,0.114,-6.827,0.0536,1,180.826,4
Câlin,Câlin,c e c e l i e,2022-03-04,123187,51,0.786,0.803,0.298,2,0.364,0.586,0.123,-11.969,0.0768,0,80.025,4
in my eyes,in my eyes,Jadu Jadu,2022-01-05,128522,47,0.708,0.681,0.371,8,0.275,0.862,0.109,-9.841,0.081,1,121.866,5
Donny In Valdez - Instrumental,The Celestial Suite (Instrumentals),Pale Jay,2021-11-10,150422,49,0.406,0.593,0.662,4,0.458,0.917,0.352,-8.81,0.0245,0,75.035,4
Fancy Planetarium,Butler Earl's Estate,Butler Earl,2021-11-11,137560,48,0.436,0.766,0.819,5,0.822,0.0335,0.18,-5.264,0.0743,1,143.939,4
Juniper,Juniper,Made in M,2022-03-16,102400,52,0.657,0.452,0.697,11,0.263,0.909,0.139,-13.172,0.214,0,78.563,4
Baby Love - Lofi Flip,LoTown Vol. 2,uChill,2022-04-22,94173,53,0.383,0.704,0.471,10,0.572,0.856,0.266,-8.264,0.37,0,115.186,4
Oopsy Daisy,Oopsy Daisy,heiwa,2022-01-25,117142,50,0.894,0.567,0.572,5,0.427,0.643,0.372,-14.324,0.184,1,82.968,4
coffee shop,coffee shop,hotpotatoes,2022-03-25,84444,50,0.585,0.774,0.91,8,0.298,0.909,0.104,-15.015,0.0965,1,81.031,4
Fireplace,Fireplace,Smuv,2022-04-07,108000,48,0.804,0.774,0.765,5,0.227,0.947,0.111,-10.485,0.0658,1,81.002,4
Place,Place,Huey Daze,2022-03-11,147391,47,0.41,0.601,0.288,0,0.334,0.98,0.243,-12.666,0.038,1,92.001,4
Unity,Unity,Dr. Dundiff,2022-04-08,133597,53,0.384,0.779,0.366,3,0.29,0.804,0.0996,-10.656,0.0888,0,80.75,4
Bolivian Rapsody,In Memory of Freedom,Boztown,2022-03-18,129104,50,0.0449,0.555,0.381,1,0.318,0.678,0.0741,-11.934,0.0565,0,80.124,4
SnowBluntz,SnowBluntz,braj mahal,2022-02-04,118843,34,0.247,0.77,0.563,11,0.6,0.907,0.0742,-7.052,0.037,1,87.986,4
Jordans,Jordans,Saib,2022-02-24,178760,50,0.802,0.763,0.853,7,0.416,0.28,0.146,-10.156,0.184,1,86.989,4
Orange Teal,Orange Teal,Midnight Hour,2022-01-06,106046,52,0.856,0.675,0.556,8,0.305,0.941,0.111,-13.3,0.107,1,172.144,4
Green in Blue,Green in Blue,Jazzinuf,2021-11-26,152727,46,0.579,0.395,0.503,1,0.718,0.869,0.11,-5.941,0.0699,1,86.983,4
Discovery,Discovery,DLJ,2022-04-08,137625,48,0.898,0.74,0.223,10,0.398,0.624,0.142,-12.83,0.0889,0,80.071,4
By This River - Spotify Singles,Bluewerks: Spotify Singles,Bluewerks,2022-05-04,231706,59,0.935,0.546,0.142,0,0.214,0.905,0.104,-17.49,0.0291,0,67.014,4
Colors of the Feather,Colors of the Feather,softy,2022-03-02,167410,49,0.952,0.471,0.0743,6,0.172,0.821,0.123,-13.044,0.0317,1,111.248,4
Change of Color,Change of Color,No Spirit,2021-11-26,183448,48,0.84,0.645,0.103,7,0.288,0.767,0.0777,-11.424,0.0295,1,87.026,4
Toy Planet,Toy Planet,Mama Aiuto,2022-02-28,156329,47,0.608,0.866,0.722,1,0.276,0.871,0.0881,-8.819,0.421,1,86.208,4
Lunaria,Lunaria / Hedera,Wun Two,2022-04-06,93720,49,0.532,0.76,0.82,4,0.319,0.915,0.107,-5.233,0.121,0,82.003,4
Sea Glass,Sea Glass,Sports & Music,2021-11-26,123431,49,0.688,0.767,0.722,8,0.474,0.88,0.135,-13.493,0.0499,0,73.981,1
kobayashi,listen//waves,Jadu Jadu,2022-03-04,116512,48,0.555,0.545,0.433,8,0.274,0.92,0.875,-14.717,0.333,1,91.278,4
.Question mark,.What if it was all just a dream?,совы не спят,2022-02-18,96809,47,0.939,0.662,0.335,1,0.092,0.279,0.111,-15.75,0.0657,0,80.49,1
On & On,On & On,Saib,2022-01-06,197968,50,0.535,0.704,0.41,1,0.579,0.863,0.267,-7.32,0.0954,0,88.186,4
Dream In - TiMT Remix,Fantastic Farewell (2021 Remastered),Kan Sano,2021-12-22,179570,50,0.823,0.643,0.405,6,0.297,0.831,0.116,-9.166,0.0417,1,82.944,4
Mo' Better Soul,Mo' Better Soul,Shuko,2022-02-03,151306,47,0.0285,0.696,0.666,8,0.477,0.918,0.118,-5.79,0.0884,1,183.809,4
Passing By,Passing By,Yasumu,2022-02-18,114352,47,0.403,0.752,0.165,0,0.251,0.887,0.106,-13.532,0.508,0,170.014,4
Starless II - Spotify Singles,Bluewerks: Spotify Singles,Bluewerks,2022-05-04,171333,58,0.876,0.608,0.202,4,0.313,0.922,0.248,-16.276,0.0377,0,79.92,4
Retrospect,Retrospect,Glimlip,2021-11-26,149761,46,0.726,0.758,0.176,3,0.29,0.84,0.0983,-13.188,0.255,0,83.954,4
Honey,Honey,Kazam,2021-12-13,176420,47,0.568,0.895,0.804,3,0.196,0.798,0.109,-18.44,0.161,0,120.027,4
Everluv,Everluv,Flughand,2022-02-15,93680,50,0.845,0.692,0.842,7,0.207,0.874,0.12,-9.633,0.0457,0,77.053,4
Wooden Swing,Wooden Swing,Luchii,2021-12-02,188070,48,0.604,0.737,0.34,7,0.304,0.208,0.111,-7.724,0.0354,1,91.993,4
I Like That,I Like That,Emapea,2022-02-16,192000,47,0.0124,0.689,0.724,2,0.398,0.892,0.116,-4.743,0.124,0,172.109,4
[b] how the party gonna be the night before 2050,[b] how the party gonna be the night before 2050,moow,2022-01-07,163920,49,0.871,0.797,0.119,9,0.0903,0.833,0.098,-13.247,0.1,0,90.007,4
Viento de Arrabal,Viento de Arrabal,Los Bosques,2022-03-18,125581,50,0.868,0.678,0.438,9,0.424,0.851,0.0804,-11.997,0.065,0,172.157,4
MissMoneypenny,MissMoneypenny,braj mahal,2022-04-01,130015,39,0.0235,0.524,0.456,0,0.513,0.839,0.115,-7.265,0.0792,1,141.98,4
Eros,Eros,Sátyr,2021-12-10,150329,47,0.632,0.604,0.116,2,0.501,0.889,0.104,-10.573,0.0537,0,91.113,4
Bitterlemon,Bitterlemon,Smoke Trees,2022-01-19,98000,46,0.522,0.765,0.466,7,0.263,0.953,0.299,-16.084,0.0463,1,99.099,4
