name,album,artist,release_date,length,popularity,acousticness,danceability,valence,key,energy,instrumentalness,liveness,loudness,speechiness,mode,tempo,time_signature
Enchanted Memories,"Chicago Smooth Jazz Lounge Bar Music: Erotic Chill Jazz (Chill Out Lounge Music selection, Sexy Chillout 2013)",Jazz Lounge Music Club Chicago,2013-04-17,312412,8,0.0479,0.734,0.595,7,0.428,0.897,0.147,-10.244,0.0466,1,99.986,4
Wasabi Terraces,Wasabi Terraces,Testiculo y Uno,2019-12-18,188053,0,0.177,0.808,0.583,2,0.245,0.609,0.706,-11.114,0.0519,1,87.213,4
Inhale - Robert Winter Edition,Inhale (Robert Winter Edition),Shuko,2020-01-24,163613,14,0.0977,0.702,0.676,1,0.467,0.824,0.107,-10.516,0.0326,1,142.004,4
コース:オーシャン パーク,Sonic & All-Stars Racing Transformed Original Soundtrack (Vol. 2),Various Artists,2014-05-14,226306,0,0.0205,0.559,0.772,11,0.897,0.42,0.108,-6.331,0.052,0,130.008,4
Astronomia,Astronomia,Tony Igy,2016-09-02,201486,44,0.21,0.818,0.641,2,0.759,0.000325,0.241,-5.327,0.267,1,126.081,4
Fleeting,Spring Patterns,Ameba,2020-03-23,120179,0,0.663,0.708,0.578,0,0.0842,0.901,0.156,-18.52,0.137,1,80.026,4
Driftwood,Chillhop Essentials Summer 2019,Various Artists,2019-06-12,163571,35,0.828,0.519,0.405,4,0.13,0.919,0.12,-13.054,0.0678,0,88.983,4
You Don't Know,You Don't Know What Love Is,Psalm Trees,2019-08-30,166363,41,0.673,0.834,0.821,2,0.289,0.849,0.143,-8.706,0.047,0,88.015,4
Magic Ways,Swum,SwuM,2018-06-01,118917,0,0.00662,0.526,0.428,1,0.771,0.921,0.11,-3.328,0.0613,1,96.992,4
Vibin’ Out,Vibin’ Out,Ruck P,2019-04-15,227500,36,0.0239,0.652,0.372,9,0.42,0.681,0.0953,-11.728,0.034,0,93.983,4
Her,Her,DAO,2020-01-17,123333,32,0.104,0.737,0.334,1,0.723,0.851,0.0979,-9.483,0.0674,0,89.967,4
Beach House View,Beach House View,Board-Man,2019-05-08,131763,0,0.17,0.664,0.823,6,0.495,0.805,0.323,-9.342,0.102,0,149.696,4
Samui Sunrise,Samui Sunrise,Saib,2019-12-06,204137,46,0.318,0.773,0.7,1,0.667,0.714,0.138,-7.606,0.119,1,87.005,4
slight rain,Special Nerds,BROCKBEATS,2019-11-04,192000,27,0.811,0.632,0.289,1,0.389,0.897,0.353,-11.804,0.033,0,69.169,4
Urtha1,Urtha1,Sugi.wa,2018-05-30,130169,42,0.824,0.629,0.408,0,0.501,0.198,0.1,-10.805,0.0641,0,118.272,4
Serene,Serene,Stan Forebee,2019-11-11,145112,37,0.00498,0.764,0.44,10,0.282,0.877,0.108,-8.807,0.0681,0,160.083,4
cherry blossom,sanctuary,mt. fujitive,2019-10-15,106000,48,0.625,0.659,0.836,8,0.211,0.909,0.055,-11.835,0.0633,1,119.369,4
Withy Nights,Time for Two,Konteks,2020-01-31,131200,29,0.745,0.688,0.715,11,0.181,0.702,0.112,-13.267,0.0934,1,75.041,3
sundown,sanctuary,mt. fujitive,2019-10-15,112000,55,0.959,0.656,0.48,5,0.164,0.933,0.0996,-19.743,0.0408,1,76.061,3
Drift,Drift / Voyage,Lazlow,2020-06-19,125240,24,0.216,0.552,0.354,8,0.551,0.895,0.301,-12.237,0.0828,0,78.337,4
Suavemente,Suavemente,DAO,2020-06-05,117818,30,0.00836,0.796,0.307,8,0.617,0.79,0.135,-9.232,0.0602,0,110.017,4
Every Night,Every Night,Zmeyev,2020-03-26,145152,0,0.631,0.778,0.529,11,0.396,0.81,0.136,-11.539,0.0723,1,86.01,4
prayer,(self) reflection,linanthem,2019-06-28,89934,15,0.311,0.681,0.658,4,0.261,0.712,0.128,-14.599,0.0818,0,83.086,4
motivation,wonder,linanthem,2018-02-02,98609,11,0.176,0.686,0.949,6,0.399,0.961,0.0706,-13.502,0.054,0,177.965,3
Musings,Musings,linanthem,2020-04-20,72000,17,0.715,0.75,0.239,2,0.154,0.92,0.106,-10.439,0.0656,1,80.017,4
Icarus,Icarus,linanthem,2019-07-19,99857,11,0.828,0.684,0.476,0,0.34,0.0994,0.108,-15.128,0.164,1,158.183,4
Night 1,25 Nights for Nujabes,Ta-ku,2018-12-21,183186,40,0.0127,0.835,0.389,0,0.359,0.628,0.112,-12.531,0.0685,1,152.185,4
Né,SANGOZINHO,Sango,2020-08-17,94400,16,0.00827,0.814,0.515,3,0.386,0.914,0.0497,-13.59,0.194,0,122.006,4
Revelação Edit (2018),SANGOZINHO,Sango,2020-08-17,208500,25,0.0852,0.736,0.688,2,0.8,0.675,0.369,-6.853,0.0752,1,136.018,4
Trem Bala Da Congo,SANGOZINHO,Sango,2020-08-17,74400,22,0.19,0.589,0.915,10,0.733,0.0,0.243,-5.263,0.329,0,133.48,4
Sonho,SANGOZINHO,Sango,2020-08-17,192536,18,0.0301,0.837,0.64,5,0.534,0.526,0.0757,-9.095,0.247,0,130.002,4
Ritmo dos Anos 90,SANGOZINHO,Sango,2020-08-17,101728,20,0.206,0.772,0.696,3,0.954,0.8,0.114,-11.215,0.0721,1,151.17,4
Novo (Feat. asante),SANGOZINHO,Sango,2020-08-17,141000,29,0.194,0.831,0.767,7,0.71,0.945,0.102,-7.659,0.191,0,150.091,4
Suavemente,Suavemente,Lakim,2020-07-17,205766,31,0.0487,0.764,0.96,5,0.546,0.00953,0.268,-9.198,0.287,0,111.92,4
Abstract Poetic,Abstract Poetic,DAO,2020-08-28,123409,38,0.548,0.664,0.82,6,0.699,0.88,0.165,-6.845,0.118,1,175.923,4
Maluco,Da Rocinha 2,Sango,2014-01-23,243367,43,0.0544,0.89,0.702,8,0.758,0.00454,0.123,-7.987,0.23,0,143.97,4
Lasting Impression,James Vargas,James Vargas,2004,312800,30,0.278,0.663,0.699,2,0.613,5.63e-05,0.0498,-7.405,0.0294,0,91.022,4
view the ranking,龍が如く0 誓いの場所 オリジナルサウンドトラック (Side B),SEGA SOUND TEAM,2015-03-18,75392,15,0.000941,0.639,0.887,5,0.815,0.902,0.125,-9.058,0.0317,0,125.991,4
Born Fresh,Lifestyle,Harris Heller,2020-09-14,148346,0,0.636,0.908,0.673,4,0.472,0.724,0.0764,-8.094,0.135,1,123.011,4
explore,Lost Tapes,steezy prime,2019-09-18,132413,39,0.656,0.785,0.889,1,0.702,0.706,0.125,-6.388,0.108,1,173.99,4
Green Tea,Audio Bartending,Jazzinuf,2018-04-01,116688,43,0.444,0.756,0.87,1,0.599,0.000267,0.0745,-7.319,0.0322,0,140.026,4
Magic Hoodie,Dazzle,Jazzinuf,2018-11-16,118355,47,0.446,0.784,0.63,0,0.626,0.597,0.135,-6.692,0.245,0,146.033,4
Dream Sequence,Dream Sequence,Kendall Miles,2017-07-14,196901,45,0.8,0.375,0.464,6,0.439,0.812,0.473,-11.099,0.0645,1,121.198,4
Egyptian Pools,Meditation - EP,Jinsang,2015-04-23,130677,56,0.845,0.665,0.81,5,0.597,0.919,0.11,-9.669,0.274,0,78.681,4
Further,Night Emotions,DLJ,2020-03-11,141724,13,0.222,0.379,0.244,10,0.259,0.772,0.107,-16.195,0.0489,0,84.38,4
5:32pm,Vibes 2,The Deli,2016-10-17,136914,64,0.686,0.691,0.548,10,0.186,0.934,0.0762,-13.672,0.0487,0,86.383,4
The Girl With the Cappuccino,Coffee Sunrise,LoFi Waiter,2020-09-18,114203,60,0.656,0.79,0.222,9,0.446,0.931,0.0933,-9.273,0.052,0,80.002,4
Fly Away,Fly Away,Altair Blake,2020-10-30,123866,52,0.699,0.717,0.59,8,0.417,0.943,0.121,-12.677,0.046,0,93.048,4
French Inhale,444,[bsd.u],2016-12-02,108078,59,0.499,0.87,0.889,8,0.146,0.941,0.105,-11.877,0.22,0,80.087,4
viola,unexpected,eevee,2016-02-10,86571,56,0.967,0.645,0.191,9,0.114,0.831,0.112,-15.768,0.356,1,78.015,4
"sincerely, yours",osho,Nohidea,2017-02-04,139684,54,0.8,0.605,0.622,5,0.396,0.872,0.141,-11.301,0.0509,0,80.957,4
Have a Nice Day,Coffee Sunrise,LoFi Waiter,2020-09-18,72015,50,0.643,0.7,0.568,0,0.0786,0.941,0.112,-13.826,0.173,1,80.041,4
[oops],[oops],potsu,2017-05-17,142182,62,0.538,0.843,0.655,7,0.256,0.114,0.133,-13.565,0.0752,0,68.997,4
Chérie,L'aventure EP,C4C,2020-02-14,207483,18,0.185,0.724,0.308,11,0.105,0.929,0.343,-14.478,0.0613,0,155.069,4
Icicles,Tranquility,G Mills,2020-06-03,162596,11,0.695,0.636,0.159,2,0.453,0.881,0.0746,-14.432,0.0467,1,130.057,4
Resonance,Odyssey,Home,2014-07-01,212881,7,0.0356,0.567,0.423,8,0.743,0.847,0.221,-8.614,0.0626,1,170.083,5
Backpack City,Ages Ago,Flovry,2019-11-26,151731,16,0.879,0.666,0.12,4,0.197,0.881,0.109,-15.365,0.0692,1,77.079,4
Blue Sun,Blue Sun,Kid Kio,2020-10-27,108000,45,0.567,0.404,0.458,1,0.414,0.882,0.104,-10.834,0.104,1,151.007,4
Floetry,Floetry,Altair Blake,2020-10-02,136744,53,0.109,0.793,0.483,5,0.224,0.726,0.101,-11.818,0.166,0,86.04,4
Enter the Coffee Shop,Coffee Sunrise,LoFi Waiter,2020-09-18,186007,51,0.278,0.728,0.143,8,0.479,0.721,0.106,-9.675,0.149,1,80.043,4
Been a While,Before You Go,Jhove,2020-04-28,188307,19,0.942,0.574,0.212,1,0.125,0.836,0.154,-18.322,0.0379,1,130.087,4
Say Yes,L'aventure EP,C4C,2020-02-14,160000,19,0.276,0.736,0.327,4,0.291,0.74,0.112,-11.668,0.0568,1,150.007,4
Gold Tear,Walking On The Clouds,Sleepy Tom,2020-10-30,171428,49,0.548,0.413,0.103,7,0.455,0.909,0.0809,-9.679,0.0978,1,140.109,4
Dark Coconut,BLESS Vol. 2,Various Artists,2018-07-11,114428,13,0.129,0.703,0.861,0,0.431,0.733,0.678,-5.778,0.149,0,140.03,4
Peach Pit,Kairos,Avixn,2017-11-12,84464,16,0.669,0.717,0.229,9,0.449,0.099,0.236,-9.513,0.317,1,90.971,4
Her.Thoughts,Her.Thoughts,Goldenninjah,2018-05-25,73926,17,0.427,0.721,0.962,6,0.551,0.179,0.378,-15.048,0.432,1,90.712,4
Endurance,Groove Marauders 2,Lester Nowhere,2018-09-20,135849,25,0.506,0.691,0.86,1,0.431,0.172,0.379,-8.454,0.0293,0,89.007,4
Sakura Trees,Buena Vista,Saib,2017-03-10,99996,62,0.204,0.643,0.521,0,0.56,0.197,0.0908,-7.295,0.0354,1,79.986,4
Mental Acupuncture,Harlem Barber Swing 2,Jazzinuf,2019-06-26,152000,52,0.0274,0.713,0.642,10,0.415,0.539,0.106,-11.179,0.0389,0,89.981,4
Bathtub,Medici,Ballpoint,2018-05-11,153619,22,0.00112,0.746,0.379,8,0.621,0.441,0.189,-8.445,0.0616,1,145.014,4
Lowrider,Lowrider,Joakim Karud,2017-08-21,216038,24,0.0469,0.646,0.444,9,0.802,0.00561,0.183,-5.925,0.0425,1,87.027,4
Casin,Points of Interest,glue70,2016-09-03,106153,56,0.0734,0.964,0.731,0,0.658,0.0348,0.0706,-6.896,0.22,1,104.024,4
