name,album,artist,release_date,length,popularity,acousticness,danceability,valence,key,energy,instrumentalness,liveness,loudness,speechiness,mode,tempo,time_signature
Hide and Seek,Speak for Yourself,Imogen Heap,2005-07-18,268979,59,0.909,0.451,0.0901,9,0.166,0.0,0.19,-11.125,0.0696,1,121.123,4
Little Bit,Essentials,Erika de Casier,2019-05-16,286000,49,0.209,0.717,0.651,5,0.484,0.000732,0.328,-8.001,0.0264,0,130.988,4
Dreamland,Dreamland,Glass Animals,2020-05-01,203492,47,0.883,0.253,0.099,8,0.352,0.00191,0.0668,-11.509,0.0357,1,141.97,5
peas,peas,boylife,2020-02-13,234645,53,0.303,0.249,0.126,4,0.342,0.0113,0.16,-10.283,0.0389,1,64.335,5
Feel These Heavy Times,Out of My Mind,King Charles,2020-04-17,229843,37,0.392,0.738,0.564,5,0.504,0.137,0.123,-10.407,0.0424,1,84.99,4
Door,Door,Caroline Polachek,2019-06-19,322573,0,0.222,0.684,0.253,3,0.438,0.0,0.262,-8.309,0.0388,1,123.997,4
The City,The City,ella jane,2020-02-20,251646,43,0.804,0.696,0.127,0,0.241,0.00577,0.109,-17.231,0.0355,1,95.001,4
i feel like chet (khai dreams edit),plum blossom (the edits),mxmtoon,2019-04-26,173568,0,0.585,0.663,0.433,8,0.376,0.0,0.131,-11.194,0.134,0,145.091,4
Way Up,Way Up,Fintan,2019-08-23,177449,46,0.177,0.708,0.367,6,0.39,0.0,0.0872,-6.617,0.0371,0,76.985,4
Want U Around (feat. Ruel),Want U Around (feat. Ruel),Omar Apollo,2020-10-12,247720,58,0.3,0.571,0.621,0,0.443,6.95e-06,0.101,-6.76,0.0451,1,143.923,3
